,p_id,name,price,colour,brand_name,ratingCount,avg_rating,brand_id
11990,17430638.0,Woodland Women Red Tapered Fit Trousers,2495.0,Red,woodland,184.47941042394774,4.101225865898192,985
11991,16838276.0,Woodland Women Purple Water Resistant Puffer Jacket,6995.0,Purple,woodland,5.0,4.0,985
11992,16838270.0,Woodland Women Nude Coloured Water Resistant Puffer Jacket,6995.0,Nude,woodland,3.0,4.333333333,985
11993,16838236.0,Woodland Women Olive Green Water Resistant Longline Padded Jacket with Belt,11995.0,Olive,woodland,184.47941042394774,4.101225865898192,985
11994,16839844.0,Woodland Women Pink Hooded Sweatshirt,5495.0,Pink,woodland,184.47941042394774,4.101225865898192,985
11995,17125812.0,Woodland Women Navy Blue Hooded Sweatshirt,4495.0,Navy Blue,woodland,184.47941042394774,4.101225865898192,985
11996,17125800.0,Woodland Women Red Typography Hooded Sweatshirt,3995.0,Red,woodland,184.47941042394774,4.101225865898192,985
11997,18539936.0,Noh.Voh - SASSAFRAS Kids-Girls Brown Floral Printed Mini Pure Cotton Skirts,1199.0,Brown,noh.voh - sassafras kids,184.47941042394774,4.101225865898192,636
11998,16109360.0,Noh Voh - SASSAFRAS Kids Girls Blue & White Striped Turtle Neck Fitted Top,999.0,Blue,noh.voh - sassafras kids,68.0,4.382352941,636
11999,15354148.0,Noh.Voh - SASSAFRAS Kids Girls Fluorescent Green Accordion Pleated Flared Skirt,1399.0,Fluorescent Green,noh.voh - sassafras kids,19.0,4.684210526,636
12000,18090242.0,Noh.Voh - SASSAFRAS Kids Girls Yellow Embroidered Pure Cotton Denim A-line Mini Skirt,1799.0,Yellow,noh.voh - sassafras kids,184.47941042394774,4.101225865898192,636
12001,17484270.0,Noh.Voh - SASSAFRAS Kids Girls Maroon Solid Accordion Pleated A-Line Midi Skirt,1399.0,Maroon,noh.voh - sassafras kids,15.0,4.133333333,636
12002,18390960.0,Noh.Voh - SASSAFRAS Kids Girls Red Solid Pure Cotton A-Line Mini Skirt,1199.0,Red,noh.voh - sassafras kids,184.47941042394774,4.101225865898192,636
12003,18002898.0,Noh.Voh - SASSAFRAS Kids Girls Yellow Floral Tulle Gathered Skirt,1499.0,Yellow,noh.voh - sassafras kids,184.47941042394774,4.101225865898192,636
12004,17484266.0,Noh.Voh - SASSAFRAS Kids Girls Green Solid Flared Skirt,1499.0,Green,noh.voh - sassafras kids,7.0,4.285714286,636
12005,17484264.0,Noh.Voh - SASSAFRAS Kids Girls Pink Self-Design Tiered Midi Skirt,1499.0,Pink,noh.voh - sassafras kids,7.0,3.285714286,636
12006,19355710.0,The Vanca Women Black & Yellow Printed Basic Jumpsuit,2599.0,Black,the vanca,184.47941042394774,4.101225865898192,891
12007,17151026.0,The Vanca Women Stylish Mustard Solid Playsuit,2499.0,Mustard,the vanca,184.47941042394774,4.101225865898192,891
12008,18335430.0,The Vanca Yellow & White Printed Playsuit,2199.0,Yellow,the vanca,184.47941042394774,4.101225865898192,891
