,p_id,name,price,colour,brand,brand_id
6270,15952994.0,Prakrti Black Printed Kurti,1899.0,Black,Prakrti,700
6271,17830854.0,Prakrti Women Blue Printed Top with Trousers,2999.0,Blue,Prakrti,700
6272,17777226.0,Prakrti Pink & White Ethnic Motifs Printed Pure Cotton Pleated Kurti,2199.0,Pink,Prakrti,700
6273,14007092.0,Prakrti Women White & Navy Blue Embroidered Detail Top with Trousers,4299.0,White,Prakrti,700
6274,15953016.0,Prakrti Green Solid Kurti,1599.0,Green,Prakrti,700
6275,15132124.0,Prakrti Grey Textured Effect Gathered A-Line Kurti with Tie-Up Detail,1699.0,Grey,Prakrti,700
6276,15953036.0,Prakrti Black Solid Kurti,1599.0,Black,Prakrti,700
6277,16989502.0,Prakrti Maroon & Gold-Coloured Ethnic Motifs Printed Kurti,1699.0,Maroon,Prakrti,700
6278,16989476.0,Prakrti Blue Geometric Hand Block Printed Pure Cotton Kurti,1699.0,Blue,Prakrti,700
6279,17164070.0,Nautica Women Navy Blue Slim Fit High-Rise Stretchable Jeans,3899.0,Navy Blue,Nautica,615
6280,17164064.0,Nautica Women Blue Skinny Fit High-Rise Light Fade Stretchable Jeans,3899.0,Blue,Nautica,615
6281,17164052.0,Nautica Women Blue Skinny Fit Light Fade Straight Stretchable Jeans,3899.0,Blue,Nautica,615
6282,17164068.0,Nautica Women Mint Green Skinny Fit Clean Look Stretchable Jeans,3899.0,Green,Nautica,615
6283,14550610.0,Nautica Women Red Solid Padded Jacket,6699.0,Red,Nautica,615
6284,14550604.0,Nautica Women Black Solid Sleeveless Padded Jacket,5359.0,Black,Nautica,615
6285,18025814.0,Molcha Women Blue Palazzos,1665.0,Blue,Molcha,592
6286,19048792.0,Molcha Mustard Yellow Top,1665.0,Mustard,Molcha,592
6287,17066528.0,Molcha Off White Solid Cotton Non-Padded Saree Blouse,2099.0,Off White,Molcha,592
6288,14523372.0,Molcha Women Pack Of 2 Black & White Solid Palazzos,3000.0,Black,Molcha,592
6289,13358410.0,Molcha Women Black Solid Pant Palazzos,1665.0,Black,Molcha,592
6290,15019784.0,Molcha Women Orange Cotton Shorts,1665.0,Orange,Molcha,592
6291,13523284.0,Molcha Women Black Pure Cotton Solid Saree Blouse,2099.0,Black,Molcha,592
6292,15019792.0,Molcha Women Peach-Coloured Cotton Shorts,1665.0,Peach,Molcha,592
6293,15019782.0,Molcha Women Maroon Cotton Shorts,1665.0,Maroon,Molcha,592
6294,15358978.0,Molcha Set of 2 Women Rust& Maroon Regular Shorts,3000.0,Rust,Molcha,592
6295,15354670.0,Molcha Women Pack of 2 Black Regular Cotton Shorts,3000.0,Black,Molcha,592
